feature,importance
BMI,2.1245502692189198
Sleep_Quality_Score,2.09172420313343
Exercise_Frequency_Per_Week,1.8942789603275094
Smoking_Status_Current,1.5998828222531105
Stress_Level,1.4285149535037975
Fast_Food_Meals_Per_Week,1.374981055992494
Obesity_Risk_High,1.3080883482242318
Obesity_Risk_Low,1.2251171401954575
Daily_Steps,1.2176596809474587
Alcohol_Consumption_Heavy,1.168547384859145
Smoking_Status_Former,0.9312068473010249
Smoking_Status_Never,0.7813035273945262
Mood_Score,0.7258139524217408
Vegetable_Intake_Per_Day,0.6276165513332093
Morning_Workout_Yes,0.5908048339549372
Age,0.5027653863522006
Morning_Workout_No,0.498995489721585
Alcohol_Consumption_Moderate,0.49090531867971376
Meditation_Practice_Yes,0.47228986820687546
Alcohol_Consumption_Light,0.4399954486453337
Cardiovascular_Risk_High,0.4007554693519252
Cardiovascular_Risk_Low,0.3975188440220536
Fruit_Intake_Per_Day,0.3957134500053897
Meditation_Practice_No,0.3885562195687282
Water_Intake_Liters,0.3798542461143102
Alcohol_Consumption_Unknown,0.3502741699765161
Gender_Non-binary,0.3274680890356781
Diabetes_Risk_Low,0.32303416277279606
Weight_kg,0.3226940297317744
Gym_Member_Yes,0.26516121332209
Obesity_Risk_Medium,0.24240655758328494
Gym_Member_No,0.23779811223178626
Sleep_Disorder_Risk_High,0.2278621824473121
Occupation_Laborer,0.22164222706548792
Occupation_Student,0.21841127267103488
Marital_Status_Divorced,0.21828251065944945
Hypertension_Risk_Low,0.20425599923253115
Country_Nigeria,0.19963028189196594
Hypertension_Risk_High,0.1981163242712849
Height_cm,0.1817782412202789
Exercise_Type_Sports,0.17869769977796726
Cardiovascular_Risk_Medium,0.17530008572836434
Occupation_Artist,0.1717004392138573
Workout_Intensity_High,0.16567046867494645
Workout_Intensity_Moderate,0.16355578540967822
Exercise_Type_Cycling,0.16072513423000998
Occupation_Software Engineer,0.15801462882787176
Sleep_Disorder_Risk_Low,0.15210546509185482
Diabetes_Risk_Medium,0.1515578948834765
Occupation_Retired,0.14844601179804465
Country_France,0.14732340146576572
Hypertension_Risk_Medium,0.1391467359578774
Country_Mexico,0.13760205329277325
Sleep_Disorder_Risk_Medium,0.1347110144588632
Gender_Male,0.12440473668339655
Occupation_Athlete,0.12129777370034807
Occupation_Lawyer,0.12065637568280854
Workout_Intensity_Low,0.11902576843680827
Marital_Status_Married,0.11620184724596162
Occupation_Doctor,0.11474244992808022
Exercise_Type_Walking,0.11462467753057459
Exercise_Type_HIIT,0.11214245734356573
Occupation_Teacher,0.11143454930645422
Occupation_Freelancer,0.10646831201715051
Occupation_Entrepreneur,0.10478345013364024
Exercise_Type_Yoga,0.10160772097439233
Country_Brazil,0.1014901422631022
Marital_Status_Single,0.10012723275394397
Life_Satisfaction_Score,0.09510377799009967
Exercise_Type_Swimming,0.09205457783044776
Systolic_BP,0.09173129461415228
Marital_Status_Widowed,0.08850753949638285
Country_USA,0.08717829737589572
Country_Japan,0.08493134983319438
Exercise_Type_Weight Training,0.07937730472458006
Gender_Female,0.07891819325260752
Occupation_Accountant,0.07762504356149932
Country_Italy,0.07473839873395333
Country_Germany,0.0731249048372559
Country_India,0.07107502602611508
Anxiety_Score,0.06994320683926872
Country_South Korea,0.06985242803517423
Country_UK,0.06971122609870323
Occupation_Chef,0.06763583688729305
Exercise_Type_No Exercise,0.06690141091759652
Workout_Intensity_No Workout,0.06690141091759652
Occupation_Manager,0.06640889552785245
Blood_Sugar_Level,0.0640333066359057
Diabetes_Risk_High,0.0637481107547694
Exercise_Type_Running,0.06343672837763835
Occupation_Nurse,0.0605816039868115
Sitting_Hours_Per_Day,0.05802270716330925
Working_Hours_Per_Day,0.05588703804721609
Fatigue_Level_Score,0.05558441215268638
Screen_Time_Before_Bed_Hours,0.051241225805162396
Diastolic_BP,0.051009944429996186
Depression_Risk_Score,0.05094642573105248
Protein_Intake_Grams,0.050739445607399555
Country_Canada,0.0482433233561064
Country_Pakistan,0.04769708253361814
Nap_Frequency_Per_Week,0.045400775711368066
Sugary_Drinks_Per_Week,0.04330683698537327
Focus_Concentration_Score,0.043045865436631775
Cholesterol_Level,0.03736888781270824
Productivity_Score,0.03630315005562246
Social_Interaction_Score,0.03460706250273612
Country_Australia,0.032532290551889956
Outdoor_Time_Hours,0.031172946286577345
Immune_Health_Score,0.03116509028119692
Number_of_Night_Awakenings,0.02940621763668027
Energy_Level_Score,0.028102632479648084
Country_Spain,0.026492662960113524
Breakfast_Regularity_Score,0.025365975547284557
Resting_Heart_Rate,0.021439561111400378
Weekend_Sleep_Difference_Hours,0.019166983182374753
Exercise_Duration_Minutes,0.017732813671669262
Daily_Calorie_Intake,0.008420058148615588
